Freq,FreqOfFreq
1,17095
2,4277
3,1886
4,1076
5,711
6,497
7,360
8,291
9,215
10,181
11,170
12,137
13,119
15,95
16,93
17,88
14,81
20,60
19,58
18,52
22,48
21,47
26,44
23,42
24,41
30,35
29,33
28,30
27,30
25,29
35,28
32,28
31,28
38,27
33,24
37,20
42,18
36,17
39,16
41,15
40,13
34,13
53,12
47,12
56,11
50,11
49,11
46,11
69,10
66,10
43,10
48,9
45,9
70,8
65,8
63,8
55,8
51,8
103,7
93,7
71,7
62,7
54,7
52,7
79,6
44,6
156,5
82,5
78,5
73,5
64,5
60,5
57,5
121,4
117,4
108,4
98,4
84,4
76,4
72,4
67,4
61,4
58,4
222,3
166,3
126,3
119,3
111,3
105,3
101,3
99,3
95,3
92,3
88,3
86,3
85,3
83,3
81,3
77,3
75,3
59,3
327,2
262,2
235,2
211,2
188,2
182,2
181,2
180,2
177,2
161,2
153,2
149,2
144,2
143,2
137,2
130,2
129,2
125,2
118,2
116,2
110,2
107,2
106,2
102,2
96,2
94,2
90,2
87,2
80,2
74,2
2030,1
1548,1
1018,1
994,1
817,1
750,1
720,1
638,1
621,1
511,1
475,1
467,1
455,1
454,1
418,1
392,1
386,1
361,1
335,1
332,1
330,1
328,1
324,1
301,1
290,1
286,1
281,1
270,1
260,1
252,1
251,1
247,1
246,1
237,1
236,1
234,1
232,1
229,1
223,1
215,1
213,1
209,1
208,1
207,1
206,1
202,1
201,1
200,1
199,1
197,1
192,1
187,1
186,1
179,1
175,1
173,1
172,1
170,1
168,1
164,1
163,1
160,1
157,1
151,1
150,1
141,1
139,1
135,1
134,1
132,1
124,1
123,1
120,1
115,1
114,1
109,1
104,1
91,1
89,1
68,1
